Business Name,Area,Category,Google Maps URL,Address,Phone,Website,Rating,Review Count,Plus Code,Hours,Error
"Habibi Mandi & Restaurant, Madhapur",Hitech City,restaurants,"https://www.google.com/maps/place/Habibi+Mandi+%26+Restaurant,+Madhapur/data=!4m7!3m6!1s0x3bcb91659d9610c7:0xe122c8956072b2a1!8m2!3d17.4430881!4d78.3876378!16s%2Fg%2F11rp8xz8tl!19sChIJxxCWnWWRyzsRobJyYJXIIuE?authuser=0&hl=en&rclk=1","1-98/15, below Durgam Cheruvu Metro Station, Arunodaya Colony, Sri Sai Nagar, Madhapur, Hyderabad, Telangana 500081",085019 02795,,4.3,"5,071","C9VQ+63 Hyderabad, Telangana",,
Chutneys,Hitech City,restaurants,https://www.google.com/maps/place/Chutneys/data=!4m7!3m6!1s0x3bcb93d913e17abd:0x8a626662fd36589e!8m2!3d17.4525685!4d78.3805311!16s%2Fg%2F11bwf84hf0!19sChIJvXrhE9mTyzsRnlg2_WJmYoo?authuser=0&hl=en&rclk=1,"Hi-tech City, Main Road, beside @Home, opp. Shilparamam, Surya Enclave, HITEC City, Hyderabad, Telangana 500081",099854 78484,,4.1,"17,363","F93J+26 Hyderabad, Telangana",,
Pandaga Restaurant,Hitech City,restaurants,https://www.google.com/maps/place/Pandaga+Restaurant/data=!4m7!3m6!1s0x3bcb93c13753f90b:0x189905d0ab8d50d8!8m2!3d17.4576962!4d78.3658508!16s%2Fg%2F11vrl3pp33!19sChIJC_lTN8GTyzsR2FCNq9AFmRg?authuser=0&hl=en&rclk=1,"102, 3rd Floor, SSS Square Building, Kothaguda X Road, Kondapur, Laxmi Cyber City, Whitefields, Kothaguda, Hyderabad, Telangana 500084",097697 80339,,4.6,"7,523","F958+38 Hyderabad, Telangana",,
Republic of Noodles by Lemon Tree,Hitech City,restaurants,https://www.google.com/maps/place/Republic+of+Noodles+by+Lemon+Tree/data=!4m7!3m6!1s0x3bcb93e716cee11d:0x6ba4df831d1ebd00!8m2!3d17.4432076!4d78.376736!16s%2Fg%2F124swn1tm!19sChIJHeHOFueTyzsRAL0eHYPfpGs?authuser=0&hl=en&rclk=1,"M, PHASE, Level 2, Lemon tree premiere, Phase 2, Madhapur, Hyderabad, Telangana 500081",,,4.3,717,"C9VG+7M Hyderabad, Telangana",,
Via NH5 Dhaba,Hitech City,restaurants,https://www.google.com/maps/place/Via+NH5+Dhaba/data=!4m7!3m6!1s0x3bcb931be6281931:0x95c409d5dcb02cc2!8m2!3d17.4479225!4d78.3789669!16s%2Fg%2F11mt0qqjz9!19sChIJMRko5huTyzsRwiyw3NUJxJU?authuser=0&hl=en&rclk=1,"4th Floor, Phoenix Tower A, Hitech City Main Rd, opposite Trident Hotel, Patrika Nagar, HITEC City, Hyderabad, Telangana 500081",099895 76111,,4.6,477,"C9XH+5H Hyderabad, Telangana",,
Ming Ustad,Hitech City,restaurants,https://www.google.com/maps/place/Ming+Ustad/data=!4m7!3m6!1s0x3bcb93373df5e3fd:0x58e02d2961dec37!8m2!3d17.4557624!4d78.3733572!16s%2Fg%2F11fjznmt8k!19sChIJ_eP1PTeTyzsRN-wdltICjgU?authuser=0&hl=en&rclk=1,"Sy no 36 & 37, Jubilee Enclave Rd, opp. to Gowtham Model School, Hyderabad, Telangana 500081",,,4.4,"1,930","F94F+88 Hyderabad, Telangana",,
Peacock Prime Restaurant,Hitech City,restaurants,https://www.google.com/maps/place/Peacock+Prime+Restaurant/data=!4m7!3m6!1s0x3bcb9378c9470855:0x19d24caceadeb5b2!8m2!3d17.4641075!4d78.3761125!16s%2Fg%2F11v099pqvq!19sChIJVQhHyXiTyzsRsrXe6qxM0hk?authuser=0&hl=en&rclk=1,"opp. Gousia Masque, Khanamet Village, HITEC City, Kothaguda, Khanammet, Telangana 500084",094928 35252,,4.1,"1,131","F97G+JC Kothaguda, Telangana",,
Bisi Bisi | South Indian | Hitech City,Hitech City,restaurants,https://www.google.com/maps/place/Bisi+Bisi+%7C+South+Indian+%7C+Hitech+City/data=!4m7!3m6!1s0x3bcb939f76d27a13:0x410097f6420e995a!8m2!3d17.4479093!4d78.3789362!16s%2Fg%2F11t7_md6ch!19sChIJE3rSdp-TyzsRWpkOQvaXAEE?authuser=0&hl=en&rclk=1,"Upper Ground Floor, Phoenix tower A, Hitech City Main Rd, opposite Trident Hotel, Patrika Nagar, HITEC City, Hyderabad, Telangana 500081",090329 84111,,4.2,"5,185","C9XH+5H Hyderabad, Telangana",,
Southern Spice,Hitech City,restaurants,https://www.google.com/maps/place/Southern+Spice/data=!4m7!3m6!1s0x3bcb93001275ae1b:0x84d558264269b440!8m2!3d17.4500768!4d78.3796367!16s%2Fg%2F11xdrczvdt!19sChIJG651EgCTyzsRQLRpQiZY1YQ?authuser=0&hl=en&rclk=1,"Hitech City Rd, Jubilee Enclave, HITEC City, Hyderabad, Telangana 500081",069012 58110,https://southernspice.co.in,4.6,"2,160","F92H+2V Hyderabad, Telangana",Tuesday 12–3:30 pm; Wednesday 12–3:30 pm; Thursday 12–3:30 pm; Friday 12–3:30 pm; Saturday 12–3:30 pm; Sunday 12–3:30 pm; Monday 12–3:30 pm,
Sunsree Projects - Real estate,Hitech City,real estate builders,https://www.google.com/maps/place/Sunsree+Projects+-+Real+estate/data=!4m7!3m6!1s0x3bcb916264a18025:0xeb108e81561a46e5!8m2!3d17.4566286!4d78.3858048!16s%2Fg%2F11kpd0rr19!19sChIJJYChZGKRyzsR5UYaVoGOEOs?authuser=0&hl=en&rclk=1,"BSporty, Siddhi Vinayak Nagar, Madhapur, Hyderabad, Telangana 500081",090003 51269,,4.8,147,"F94P+M8 Hyderabad, Telangana",· Opens 9:30 am Wed; Wednesday 9:30 am–6:30 pm; Thursday 9:30 am–6:30 pm; Friday 9:30 am–6:30 pm; Saturday 9:30 am–6:30 pm; Sunday 9:30 am–6:30 pm; Monday 9:30 am–6:30 pm,
Elegant Group,Hitech City,real estate builders,https://www.google.com/maps/place/Elegant+Group/data=!4m7!3m6!1s0x3bcb938eef46a52f:0xc7d9c793588f7456!8m2!3d17.4446055!4d78.3851097!16s%2Fg%2F11rstbmkc6!19sChIJL6VG746TyzsRVnSPWJPH2cc?authuser=0&hl=en&rclk=1,"7th Floor, Block, My Home Hub, 2, Madhapur, Patrika Nagar, HITEC City, Hyderabad, Telangana 500081",,,4.3,37,"C9VP+R2 Hyderabad, Telangana",,
